NAME;EVENT TYPE;COUNTRY;WEBSITE;EVENT DATE;CONTACT PERSON;EMAIL;Kommentar;             Kontaktiert PRO;;
"
Spoffin OFF";Festival;Amersfoort;;;;in@spoffin.nl;Bereits per Mail kontaktiertierBewerbungsphase: 1 January and 28 February 2023 ->  https://spoffin.eu/artists/off/.;TRUE;FALSE;
Festival d'Aurrilac;Festival;Aurillac;http://www.aurillac.net/index.php/en/;;;ECLAT@AURILLAC.NET;;TRUE;FALSE;
Festival Avignon;Festival;Avignon;https://festival-avignon.com/en/professional-15932#section-34136;;;festival@festival-avignon.com;;TRUE;FALSE;
Young Stage;Festival;Basel;https://www.young-stage.com/en/;;Nadja Hauser-Berger;nadja.hauser@young-stage.com;;TRUE;FALSE;
Cultuurcentrum De Spil (Be);Kulturzentrum;Belgien;https://www.despil.be/;;Gwendolien Sabbe;gwendolien.sabbe@despil.be;;FALSE;FALSE;
Destelheide;Kunstzentrum;Belgien;https://www.destelheide.be/en/create/artist-in-house-/;;;;;FALSE;FALSE;
Espace Catastrophe;Zirkuszentrum;Belgien;http://maisondesjonglages.fr/fr/content/les-r%C3%A9sidencess ;;;;Mehrere Residenzprogramme;FALSE;FALSE;
Latitude 50;Zirkuszentrum;Belgien;https://latitude50.be/creation/candidature/;;;;;FALSE;FALSE;
Theatre denamur;Venue;Belgien;http://www.theatredenamur.be/;;;marylenetoussaint@theatredenamur.be;;TRUE;FALSE;
Les Halles de Schaerbeel;Venue;Belgium;https://www.halles.be/fr/;;;;;FALSE;FALSE;
MAISON DE LA CULTURE DE TOURNAI;Venue;Belgium;https://www.maisonculturetournai.com/;;"Philippe
Anaelle
constance";"philippe_deman@maisonculturetournai.com
anaelle_kins@maisonculturetournai.com
constance_paris@maisonculturetournai.com";;TRUE;FALSE;
MAISON DU CIRQUE;Venue;Belgium;;;;pgrombeer@skynet.be 31 267 8099;;TRUE;FALSE;
Municipal Theater Sint-Niklaas;Theater;Belgium;https://www.ccsint-niklaas.be/;;Anne-Françoise Cabanis;"ann.goossenaerts@sint-niklaas.be
oona.goyvaerts@sint-niklaas.be - 03 778 33 54";;FALSE;FALSE;
Perplx;Venue;Belgium;https://www.perplx.be/;;October 2023;info@perplx.be;;FALSE;FALSE;
Circuscentrum;Zirkuszentrum;Belgium, Gent;https://www.circuscentrum.be/circuscentrum/residenties/;;;;;FALSE;FALSE;
Lake Studios;Residenzzentrum;Berlin;https://www.lakestudiosberlin.com/d_clients;;;;;FALSE;FALSE;
Villa Kuriosum;Venue;Berlin;https://www.villakuriosum.net/;;;kontakt@scene5.net;;FALSE;FALSE;
Y Not Art Loft;Zirkuszentrum;Berlin;http://www.ynot-artloft.de/;;;;;FALSE;FALSE;
ATC Festival;Festival;Bilbao;http://bai-bai.net/act/?p=5026&lang=en&fbclid=IwAR0iqhQin-tAPxhfIcW-KKuQZQ3IkcEb2wf_8bItAg_LKewQ9T3XKLQ8JHE;last edition 2019;;Online ;;FALSE;FALSE;
Roseraie - Espace de Creation;Zirkuszentrum;Brüssel;https://www.facebook.com/laroseraie.eca;;;;;FALSE;FALSE;
Antistatic Dance festival;Festival;Bulgarien;http://antistaticfestival.org/en/;;;info@antistaticfestival.org;sent two emails, both failed to deliver;TRUE;FALSE;
C!CAF Copenhagen Circus Arts Festival;Festival;Dänemark;https://ccaf.nu/en/about-ccaf/;;;X-act@kittjohnson.dk;Next one: 2024;TRUE;FALSE;
Ny Cirkus Festival;Festival;Dänemark;;;Louise Kaare Jacobsen;lkj@kit.dk ;;TRUE;FALSE;
