NAME;EVENT TYPE;COUNTRY;WEBSITE;EVENT DATE;COMMENT;EMAIL;;APPLIED 2023;APPLIED 2025;;;;;;;;;;;;;;;;
HOPLA!;Festival;Belgien;https://www.hopla.brussels/;;;02 279 22 11;culture@brucity.be;TRUE;TRUE;;;;;;;;;;;;;;;;
Miramiro Summer Festival;Festival;Belgien;https://miramiro.be/en/festival/circus-cravings/;Juli;"Celine Verkest / 
Steven De Jonge";steven@miramiro.be celine@miramiro.be;;TRUE;FALSE;;;;;;;;;;;;;;;;
namur en mai;Festival;belgien;namurenmai.org;mai;;;;TRUE;FALSE;;;;;;;;;;;;;;;;
Zomer Van Antwerpen;Fesrtival;Belgien;https://www.zva.be/2013/nl/programma/circus-zomerbar;;; programma@zva.be;;TRUE;FALSE;;;;;;;;;;;;;;;;
Chassepierre;Festival;Belgium;https://www.chassepierre.be/en;;;online;;TRUE;TRUE;;;;;;;;;;;;;;;;
Festival UP;Festival;Belgium;https://upupup.be/infos-pratiques/;;;info@upupup.be  artistes@upupup.be;;FALSE;TRUE;;;;;;;;;;;;;;;;
La piste aux espoirs;Festival;Belgium;http://www.lapisteauxespoirs.com/;März;;info@lapisteauxespoirs.com;;TRUE;TRUE;;;;;;;;;;;;;;;;
BITEF Festival;Festival;Belgrad;https://festival.bitef.rs/en;september;;Ksenija Đurović, ksenija.djurovic@bitef.rs;;TRUE;TRUE;;;;;;;;;;;;;;;;
Berlin lacht;Festival;Berlin;https://berlin-lacht.de;;;ONLINE ;;FALSE;FALSE;;;;;;;;;;;;;;;;
Sounddance Festival;Festival;Berlin;https://opencall.soundance-festival.de/;;Contemporary Dance;info@soundance-festival.de;;FALSE;FALSE;;;;;;;;;;;;;;;;
Artlake;Festival;Brandenburg;https://artlake-festival.de/;;Weird;booking@artlake-festival.de;;FALSE;FALSE;;;;;;;;;;;;;;;;
Theaterformen;Festival;Braunschweig;https://www.theaterformen.de/news;;;welcome@theaterformen.de;ziemlich politisch/aktivist eigerichten;TRUE;TRUE;;;;;;;;;;;;;;;;
Brighton Festival;Festival;Brighton;https://brightonfestival.org;;;info@brightonfestival.org;;FALSE;FALSE;;;;;;;;;;;;;;;;
Spettacolo Brunnen;Festival;Brunnen;spettacolo-brunnen.ch/;;not accepting;artist@spettacolo-brunnen.ch;;FALSE;FALSE;;;;;;;;;;;;;;;;
Artistic Dance Festival;Festival;Bulgarien;http://antistaticfestival.org/en/;;;info@antistaticfestival.org;;TRUE;FALSE;;;;;;;;;;;;;;;;
Mini Art Festival;Festival;Bulgarien;https://en.miniartfest.com/;June;Geo Kalev / Galina Ryom-Røjbek;miniartfest@gmail.com;;TRUE;TRUE;;;;;;;;;;;;;;;;
Buskers Chur;Festival;Chur;https://buskers-chur.ch/info/;;;info@buskers-chur.ch;;TRUE;TRUE;;;;;;;;;;;;;;;;
Copenhagen Circus Festival;Festival;Dänemark;https://www.kittjohnson.dk/english/contact;;; Sarah Garde x-act@kittjohnson.dk;;TRUE;FALSE;;;;;;;;;;;;;;;;
Dynamo Circus Festival;Festival;Dänemark;https://dynamoworkspace.dk/festival/;;;for residencies:  gry@dynamoworkspace.dk   open stage: gry@dynamoworkspace.dk;Residency + Open Stage;TRUE;FALSE;;;;;;;;;;;;;;;;
Passage Festival;Festival;Dänemark;https://passagefestival.nu/en/home/;Juli;;passagefestival@helsingor-teater.dk;;TRUE;TRUE;;;;;;;;;;;;;;;;
Waves Festival;Fetsival;Dänemark;https://www.wavesfestival.dk/en/;;next 25;Malco Oliveros malco@cantabile2.dk;;FALSE;TRUE;;;;;;;;;;;;;;;;
KLP Festival;Festival;DEutchland;;mai;;info@muetzingenta.de, k.grasnick@gmx.de;send application to both emails;TRUE;TRUE;;;;;;;;;;;;;;;;
Dance in the City - Festival tanzende Stadt;Festival;Deutschland;https://www.irene-k.be/compagnie-en/festival/Call_for_proposal_2021.php?fbclid=IwAR3zZjla1-ggllqmsoBvEJhJkNpmD8NaFP78VlAvxMdDDIqQRTm_m2_iIaY;;;info@irene-k.be;;FALSE;FALSE;;;;;;;;;;;;;;;;
Bamberg;Festival;DEutchland;http://www.bamberg-zaubert.de/;;;;;TRUE;TRUE;;;;;;;;;;;;;;;;
Düsseldorf Festival full spin;Festival;Deutschland;https://www.fullspinfestival.de/?fbclid=IwAR2CFjiaw_CsJ7YqMM6ZoNiryCwG_eO1BWgU9wJGhCzIzh7gsvEUhIRkbcss;;;"leoni(at)duesseldorf-festival.de
heussen(at)duesseldorf-festival.de";Next one: 2024;TRUE;TRUE;;;;;;;;;;;;;;;;
Festival No Elephants - Freiburger Zirkustage;Festival;Deutschland;https://ewerk-freiburg.de/programmatik/festivals-2/;;;ewerk@ewerk-freiburg.de;;TRUE;FALSE;;;;;;;;;;;;;;;;
Neuland Festival;Festival;Deutschland;www.kultur-perspektiven.de;;;mail@kultur-perspektiven.de;;TRUE;FALSE;;;;;;;;;;;;;;;;
Freeman Festival;Festival;Deutschland;https://wannda.de/kontakt/;;;info@wannda.de;;FALSE;FALSE;;;;;;;;;;;;;;;;
Brückensensationen Festival ;Festival;Deutschland;https://www.rheinfelden.de/Brueckensensationen;;;kulturamt@rheinfelden-baden.de;;FALSE;FALSE;;;;;;;;;;;;;;;;
Freiart Festival;Festival;Deutschland;https://www.freiartfestival.com;;DANCE;info@freiartfestival.com;;FALSE;TRUE;;;;;;;;;;;;;;;;
Hut Festival;Festival;Deutschland;https://www.hutfestival.de/;;Anne Grimm;a.grimm@c3-chemnitz.de;;TRUE;TRUE;;;;;;;;;;;;;;;;
Impulse Festival;Festival;Deutschland;https://www.impulsefestival.de;;;info@impulsefestival.de;;TRUE;FALSE;;;;;;;;;;;;;;;;
Outnow Festival;Festival;Deutschland;https://outnowbremen.de/;;;https://outnowbremen.de/wp-content/uploads/2022/06/OUT23Ausschreibung_Form_DE.pdf;;TRUE;FALSE;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Sommerpalast;Festival;Deutschland;https://www.sommerpalast.de/;;;info@sommerpalast.de;;TRUE;TRUE;;;;;;;;;;;;;;;;
Palaisommer Dresden;Festival;Dresden;https://palaissommer.de/;;;polenz@palaissommer.de;;TRUE;TRUE;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Theater Op de Mark;;Festival;https://theateropdemarkt.be/;Okt/ Nov;;theateropdemarkt@limburg.be;;TRUE;FALSE;;;;;;;;;;;;;;;;
ViaThea;Festival;Görlitz;https://viathea.de/kuenstler/;;;viathea@g-h-t.de;;TRUE;TRUE;;meldet sich im februar, hat gesagt der ist interesiert;;;;;;;;;;;;;;
Lesliehof Graz;Open air Bühne;Graz;;;;;;FALSE;FALSE;;recontacter plus tard en 2023;;;;;;;;;;;;;;
Lendwirbel Graz;Festival;Graz;https://www.lendwirbel.at/;;;office@lendwirbel.at ;;FALSE;FALSE;meh;;;;;;;;;;;;;;;
Steirischer Herbst;Festival;Graz;https://www.steirischerherbst.at/de/;;;info [;;FALSE;FALSE;meh;;;;;;;;;;;;;;;
Theaterland Steiermark;Festival;graz;https://www.theaterland.at/2021/theaterland-steiermark-2.21/index.html;;Peter Fasshuber;fasshuber@theaterland.at;;TRUE;FALSE;meh;;;;;;;;;;;;;;;
KulturSommerWien;Festival;Austria;;;;;;FALSE;TRUE;;;;;;;;;;;;;;;;
"
Festival Belluard";Festival;Fribourg;https://belluard.ch/de;;;Diane Fleury: diane@belluard.ch Gionata Morganti: gionata@belluard.ch ;;TRUE;FALSE;;;;;;;;;;;;;;;;
Garmisch-Partenkirchen;Festival;Garmisch;Zeitwanderer.att;;;Zeitwanderer Application;;FALSE;FALSE;;;;;;;;;;;;;;;;
Tollwood Weihnachstsmarkt;Weihnachten;Gemany;https://www.tollwood.de/;;;joana.hoelcke@tollwood.de;Nur Weihnachten;FALSE;FALSE;;;;;;;;;;;;;;;;
Internationales Pantomime Theater Festival;;Germany;https://mimedresden.de/;;;info@mimedresden.de;november;TRUE;TRUE;;;;;;;;;;;;;;;;
ATOLL;Festival;Germany;https://www.tollhaus.de/de/214/atoll.html;September;; info@tollhaus.de;;FALSE;TRUE;;;;;;;;;;;;;;;;
Gassenstationen;Festival;Germany;https://gassensensationen.de/kuenstler/;Juli;; info@gassensensationen.de;;TRUE;TRUE;;;;;;;;;;;;;;;;
